generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
mixed;abrupt;10K;NB;basic;0.5785;0.0011;0.1559;0.0022;0.0;0.0;29056.3413;241.5443;0.0;0.0
mixed;gradual;10K;NB;basic;0.5794;0.0013;0.1578;0.0025;0.0;0.0;28938.24;0.0;0.0;0.0
mixed;abrupt;10K;HT;basic;0.5753;0.0026;0.1501;0.0053;0.6667;0.179;195706.88;7375.7872;0.0;0.0
mixed;gradual;10K;HT;basic;0.5848;0.0019;0.1692;0.0037;0.0;0.0;184950.784;6666.5144;0.0;0.0
mixed;abrupt;10K;NoChange;basic;0.5056;0.0042;0.011;0.0084;0.0;0.0;624.6;25.3859;0.0;0.0
mixed;gradual;10K;NoChange;basic;0.5054;0.0043;0.0105;0.0086;0.0;0.0;531.0;0.0;0.0;0.0
mixed;abrupt;10K;MajClass;basic;0.5031;0.0017;-0.0061;0.0017;0.0;0.0;730.6;25.3859;0.0;0.0
mixed;gradual;10K;MajClass;basic;0.5042;0.0019;-0.0043;0.0017;0.0;0.0;637.0;0.0;0.0;0.0
mixed;abrupt;10K;BOLE;basic;0.8181;0.0015;0.6362;0.003;7.34;0.1493;1835567.2405;18456.4901;0.0;0.0
mixed;abrupt;10K;BOLE;ADWIN;0.8936;0.0009;0.7871;0.0017;14.1133;0.2905;497304.3712;10988.719;0.0;0.0
mixed;abrupt;10K;BOLE;BOCD;0.8935;0.0009;0.787;0.0017;375.22;7.6787;182514229.7941;10585433.0294;0.0;0.0
mixed;abrupt;10K;BOLE;CUSUM;0.9003;0.0009;0.8005;0.0017;10.1533;0.2588;495396.1131;11055.97;0.0;0.0
mixed;abrupt;10K;BOLE;DDM;0.8816;0.0009;0.7632;0.0018;11.0533;0.2575;759328.0171;20722.8686;0.0;0.0
mixed;abrupt;10K;BOLE;ECDD;0.8335;0.0009;0.667;0.0018;11.7867;0.2621;538927.6501;6999.1446;0.0;0.0
mixed;abrupt;10K;BOLE;EDDM;0.8404;0.001;0.6807;0.002;9.7733;0.2066;487130.3168;8726.6629;0.0;0.0
mixed;abrupt;10K;BOLE;GMA;0.8181;0.0015;0.6362;0.003;9.84;0.2132;1852973.6021;18345.3661;0.0;0.0
mixed;abrupt;10K;BOLE;HDDMA;0.8511;0.0009;0.7021;0.0019;12.2867;0.2916;505756.9451;8954.1073;0.0;0.0
mixed;abrupt;10K;BOLE;HDDMW;0.8661;0.0009;0.7321;0.0018;12.2733;0.2961;471997.3035;8052.8816;0.0;0.0
mixed;abrupt;10K;BOLE;KSWIN;0.8846;0.0004;0.7692;0.0008;46.5093;0.4672;457115.5388;4258.2902;0.0;0.0
